City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Indore,,,Collection O Ring Road,883,"Scored 10
10
Exceptional
7 reviews",Classic Triple Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/651462345.webp?k=388887a409a3c7070f170c1fe3f18b4c464ad072bd133c11643be0dd772bed84&o=
Indore,,,Super Hotel O Rudraksh,"1,019","Scored 9.1
9.1
Superb
50 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/638475357.webp?k=f601ff7238d63213abd1e03f90bacb7e4d859db4df2cdbd76fda75fddfe6a184&o=
Indore,,, O V K HOTEL ,629,N/A,Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/651867066.webp?k=35eacbc98174bb92c81e96e5237f40d6b09bec2aa0d7bd9649fe4ca317ea34e5&o=
Indore,,,Hotel O Shivaay,968,"Scored 9.0
9.0
Superb
52 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/641462558.webp?k=887031c7e8d107fad3d08cabcf0ecb94bacf9342ef398b2d0e0bb432ff2bf656&o=
Indore,,,Satvik Hotel And Restaurant,"3,150",N/A,Family Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/652959442.webp?k=4e2e3f85df6dac2b125fdd477496bed3aa4f491ca6f62635c6dbaa2b5326722a&o=
Indore,,,Hotel O Blue Wings,597,"Scored 2.3
2.3
Review score
14 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/645612761.webp?k=efbc463a52a83fda139d7c4f703c994a5ad726227883a975aa388b90f4208165&o=
Indore,,,FabHotel ABC View,"1,140","Scored 8.1
8.1
Very good
308 reviews",Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/525984024.webp?k=783f0e11b087ae5b7e83d1c0e9fa388badce02f4597a5b12f7fc9d40201ababb&o=
Indore,,,Treebo Premium Omni Residency,"3,498","Scored 7.9
7.9
Good
64 reviews",Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/574619877.webp?k=4b6c685822e3f1038cb0d90f3fd15e46f695cb051b672ac1edf252bde0294bd3&o=
Indore,,,Hotel O  Palace,629,N/A,Classic Triple Room,Free cancellation,https://cf.bstatic.com/xdata/images/hotel/square600/642724476.webp?k=10c2dbd6c484a70c5a08c4d33b74305d98f2733778e6b60ca0ddff9e723a0c82&o=
Indore,,,Collection O The Eternity Near ,630,"Scored 2.2
2.2
Review score
20 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/623182701.webp?k=09104789c2258abd6e82ddf91e1d0d59611e5093936035f05406db3df7124e6b&o=
Indore,,,The Park ,"6,000","Scored 8.9
8.9
Fabulous
306 reviews",Double or Twin Room with Mountain View,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/329848865.webp?k=a7c298775b65515bba3348fc8456078bb21af2742c8149f5179edda58cfba962&o=
Indore,,,Townhouse South Tukoganj,"1,052","Scored 5.8
5.8
Review score
55 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/649869940.webp?k=d23fcb3a42ddd227ac8be47448ae25a10eef24cd70ff0871e4de41bb5598ea81&o=
Indore,,,Hotel O Madhuban,679,"Scored 8.0
8.0
Very good
1 review",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/630412612.webp?k=0590f7b8a7c05ceadc3c1de5405b5353b095be987c64e879646485dc9f83ab5f&o=
Indore,,,Hotel Grand Ocean,"1,364",N/A,Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/636057079.webp?k=a315924f02857c6626160791f2699d01f86c442a6ba26631523b9f9d7d79f1ba&o=
