Images,Name,Rating,People rated ,Destination type,Prices,City
https://lh5.googleusercontent.com/p/AF1QipPZnYHlQJGPucddn0zcZeRoyht3pMtIX2p3pF4q=w148-h148-n-k-no,Taj-ul-Masajid,4.6,(4.9K),Place of worship,Free,Bhopal
https://lh5.googleusercontent.com/p/AF1QipMg5EixAH-wXq5W9hmmT685LKEgn6QyIP5SQCwH=w148-h148-n-k-no,Indira Gandhi Rashtriya Manav Sangrahalaya,4.5,(2.7K),Museum,₹50.00,Bhopal
https://lh5.googleusercontent.com/p/AF1QipPJ64TuP0WtJgcho1vHt1yoHuW41AzBg22P5bfb=w148-h148-n-k-no,Van Vihar National Park Bhopal,4.3,(17K),National park,₹20.00,Bhopal
https://lh5.googleusercontent.com/p/AF1QipPfzALujLX91qtio2eMDX7X-5NT9P0IqZAiQVQ5=w148-h148-n-k-no,Birla Museum,4.4,(1.4K),Museum,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipMHs_luzcQrm262fYKGwHD0pC8yyLvSuXECoH-h=w148-h148-n-k-no,Tekri - Bhopal View Point,4.5,(4.2K),Tourist attraction,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipOYjn9KGRXQYe9yHFDjT9LhXY69oKCYJM7aq1HS=w148-h148-n-k-no,Upper Lake,4.5,(2.5K),Lake,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipNBdbQJ7bDLek5L838a3QTF_Hf2SIoXYGf8hqnN=w148-h148-n-k-no,"Bharat Bhavan,Bhopal",4.5,(5.2K),Art Centre,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipNEqQaJhkLRj89CHWKQ6xbFyG96uoLqhm1ICnY=w148-h148-n-k-no,Shaurya Smarak Bhopal,4.6,(7.7K),War museum,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipPFUiT7hK6Icajmc35aSuDkK8oySXR5PlG87SyT=w148-h148-n-k-no,Nirmaan Excursion – Yodhasthal,4.6,,Museum,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipPVWG0vShxWDYpBYKJXSMiLCNciSnA3CVydVwia=w148-h148-n-k-no,Raja Bhoj Statue,4.5,(6.3K),Tourist attraction,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipOqFdT4WmcXD6g49WiR9NkLAv9OvQ6_RgyVz3hF=w148-h148-n-k-no,Regional Science Center,4.4,(3.4K),Science museum,₹30.00,Bhopal
https://lh5.googleusercontent.com/p/AF1QipM6y-64fk0zsuzX7oNwZa9l4_pZZJSHAcX_8mZO=w148-h148-n-k-no,"Sair Sapata, Bhopal",4.1,(14K),Tourist attraction,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipP5nkepQQwlm8aCYpEuWu5h7VxasqnPskn_9pg3=w148-h148-n-k-no,Kanha Fun City,4.1,(5.5K),Amusement park,₹650.00,Bhopal
https://lh5.googleusercontent.com/p/AF1QipMMOPt3NlJgvB_znnepEVQAPpjbKJNd8ILFlvzC=w148-h148-n-k-no,DB City Mall,No rating available,,Neighborhood,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipM3WSqkmVYVCkkqtYC87MUjMra88Sjf-b0VA9LF=w148-h148-n-k-no,Upper Lake View Point,4.9,,Tourist attraction,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipM2KLczto-QazE-kzX70Hbekr19DNkneg5cS7Ak=w148-h148-n-k-no,RMNH- Regional Museum Of Natural History,4.3,(1.3K),Museum,,Bhopal
https://lh5.googleusercontent.com/p/AF1QipPGHpPVG0rrRizg5oZKpo5X4ixR7M6CUIdCXE7n=w148-h148-n-k-no,State Museum Bhopal,4.6,,Museum,,Bhopal
https://lh3.googleusercontent.com/proxy/wIP53o6BsWtYk9hCYbc_K7q3QL0M11Ci1ej83_LgJp1sINP_9aUYzq1fw9xatR57DtDEZ2exx-aHwv8TJIeCWhLGoYnYdG9Ob3cbBCRki27AL_9xZ-uSeHynqKqqVLAx9Q8L8Ihe_5B8dMSUEBI2Gr2YvejfYQ=w148-h148-n-k-no,Lower Lake,4.4,,Lake,,Bhopal
