status,message,timestamp,data__train_number,data_train_name,data__run_days__001,data__run_days__002,data__run_days__003,data__run_days__004,data__run_days__005,data__run_days__006,data__run_days__007,data__train_src,src,data__train_dstn,dstn,data__from_std,data__from_sta,data__local_train_from_sta,data__to_sta,data__to_std,data__from_day,data__to_day,data__d_day,data__from,data__to,data__from_station_name,data__to_station_name,data__halt_stn,data__distance,data__duration,data__special_train,data__train_type,data__score,data__score_train_type,data__score_booking_requency,data__frequency_perc,data__from_distance_text,data__to_distance_text,data__has_pantry,data__is_monsoon_timing_applicable,data__duration_rating,data__score_duration,data__score_std,data__score_user_preferred,data__train_date,data__class_type__001,data__class_type__002,data__class_type__003,data__class_type__004,data__class_type__005,data__class_type__006
,,,19322,Patna - Indore Express (Via Ayodhya Cantt) ,Tue,,,,,,,PNBE,Ujjain,INDB,Indore,12:30,12:15,2175,14:25,14:25,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:55,FALSE,MEX,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,19309,SHANTI EXPRESS,Mon,Tue,Wed,Thu,Fri,Sat,Sun,GNC,Ujjain,INDB,Indore,03:55,03:50,1670,05:50,05:50,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:55,FALSE,MAIL EXPRESS,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,2S,SL,3A,2A,1A,
,,,12920,Malwa SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,SVDK,Ujjain,DADN,Indore,11:35,11:20,2120,13:35,13:45,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,02:00,FALSE,MAIL EXPRESS,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,19316,VIRBHUMI EXP,Mon,Tue,Wed,Thu,Fri,Sat,Sun,ASV,Ujjain,INDB,Indore,05:00,04:55,1735,07:00,07:00,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,02:00,FALSE,MAIL EXPRESS,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3A,2A,1A,,
,,,12914,NAGPUR - INDORE Trishatabdi SF Express,Tue,,,,,,,NGP,Ujjain,INDB,Indore,04:45,04:30,1710,06:50,06:50,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,80,02:05,FALSE,SUF,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,2S,SL,3E,3A,2A,1A
,,,18234,Narmada Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,BSP,Ujjain,INDB,Indore,08:50,08:35,1955,10:55,10:55,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,3,80,02:05,FALSE,MEX,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3A,2A,1A,,
,,,22912,Shipra SF Express,Tue,Fri,Sun,,,,,HWH,Ujjain,INDB,Indore,22:10,21:55,2755,00:15,00:15,1,2,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,02:05,FALSE,MAIL EXPRESS,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,9506,UJJAIN - INDORE Special,Sun,Mon,Tue,Wed,Thu,Fri,Sat,UJN,Ujjain,INDB,Indore,08:10,08:10,490,10:40,10:40,0,0,0,UJN,INDB,UJJAIN JN,INDORE JN BG,8,79.4,02:30,TRUE,MEX,19,5,0,0,,,FALSE,FALSE,4,4,10,0,18-03-2025,2S,,,,,
TRUE,Success,1.74E+12,11072,Kamayani Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,BUI,Varanasi,LTT,Bhopal,16:00,15:50,950,07:42,07:44,0,1,0,BSB,RKMP,VARANASI JN,RANI KAMLAPATI,21,816,15:42,FALSE,MEX,25,5,0,0,,,FALSE,FALSE,1,10,10,0,17-03-2025,SL,3E,3A,2A,,
,,,1028,Gorakhpur - Mumbai Dadar Central Special,Mon,Tue,Thu,Sat,,,,GKP,Varanasi,DR,Bhopal,18:55,18:45,1125,13:50,13:55,0,1,0,BSB,RKMP,VARANASI JN,RANI KAMLAPATI,13,815,18:55,TRUE,MAIL EXPRESS,21,5,0,0,,,FALSE,FALSE,5,6,10,0,17-03-2025,SL,3A,2A,,,
