Departure,From,Arival,To,Airline,Duration,Stops,Layover time,layover,Via,layover at,Price
14:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",45 hrs 15 min,2 stops,19 hrs 25 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹19,235"
14:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",45 hrs 15 min,2 stops,20 hrs 25 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹19,235"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,17 hrs 45 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹19,325"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,19 hrs 30 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹19,325"
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,16 hrs 35 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹19,327"
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,18 hrs 35 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹19,328"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,14 hrs 35 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹19,409"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,12 hrs 35 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹19,409"
19:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",16 hrs 10 min,2 stops,8 hrs 10 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹19,409"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,12 hrs 55 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹19,508"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,14 hrs 25 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹19,508"
14:45,Varanasi,07:20,Bhopal,"Air India Express, Air India",16 hrs 35 min,2 stops,5 hrs layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹19,942"
14:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",45 hrs 15 min,2 stops,22 hrs 30 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹19,996"
14:45,Varanasi,16:00,Bhopal,"Air India Express, Air India",25 hrs 15 min,2 stops,16 hrs 10 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹20,115"
15:40,Varanasi,12:00,Bhopal,Air India,20 hrs 20 min,2 stops,9 hrs layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,165"
14:45,Varanasi,07:20,Bhopal,"Air India Express, Air India",40 hrs 35 min,2 stops,16 hrs 10 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹20,183"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,9 hrs 35 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹20,277"
14:45,Varanasi,16:00,Bhopal,"Air India Express, Air India",25 hrs 15 min,2 stops,13 hrs 35 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹20,356"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,10 hrs 50 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹20,368"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,11 hrs 50 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹20,368"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,15 hrs 30 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,374"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,13 hrs 55 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,374"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,16 hrs 5 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,374"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,14 hrs 45 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,374"
